nodes,total,in_o1,in_o2,in_o3,exec_o1,exec_o2,exec_o3,out_o1,out_o2,out_o3,critical_path,individuals_stor,individuals_merge_stor,sifting_stor,frequency_stor,mutation_overlap_stor,in_individuals,read_individuals,write_individuals,out_individuals,in_individuals_merge,read_individuals_merge,write_individuals_merge,out_individuals_merge,in_sifting,read_sifting,write_sifting,out_sifting,in_frequency,read_frequency,write_frequency,out_frequency,in_mutation_overlap,read_mutation_overlap,write_mutation_overlap,out_mutation_overlap,lam_read_beegfs,lam_write_beegfs,lam_read_ssd,lam_write_ssd,lam_read_tmpfs,lam_write_tmpfs,lam_in_total,lam_out_total,exec_beegfs_share,exec_local_share,movement_share,region_provisional,region
5,294.9240743932122,0.0,0.0181750333120701,0.1754765717028859,170.95130777733235,15.63347644527368,1.2057103788116597,49.71457799997497,55.92999014817022,1.295360038634333,read_individuals(60)->write_individuals(60)->stage_out_individuals(30)->stage_in_individuals_merge(30)->read_sifting(2)->write_sifting(2)->stage_out_sifting(15)->stage_in_frequency(16)->read_frequency(2)->write_frequency(2)->stage_out_frequency(17),beegfs,ssd,beegfs,ssd,ssd,0.0,170.93783,0.013478,49.714578,0.018175,0.089313,0.014552,0.814689,0.0,15.630523,0.002954,55.92999,0.175477,0.328613,0.877097,1.29536,0.113322,0.15855,0.211889,1.29536,186.568353,0.016432000000000002,0.328613,0.877097,0.0,0.0,0.193652,106.939928,0.6326536257980494,0.004088204743816416,0.363258171515568,33,0
5,295.0514476453051,0.0,0.0181750333120701,0.1133218168415363,170.95130777733235,15.63347644527368,1.3952383857659216,49.71457799997497,55.92999014817022,1.295360038634333,read_individuals(60)->write_individuals(60)->stage_out_individuals(30)->stage_in_individuals_merge(30)->read_sifting(2)->write_sifting(2)->stage_out_sifting(15)->stage_in_mutation_overlap(17)->read_frequency(2)->write_frequency(2)->stage_out_mutation_overlap(17),beegfs,ssd,beegfs,beegfs,ssd,0.0,170.93783,0.013478,49.714578,0.018175,0.089313,0.014552,0.814689,0.0,15.630523,0.002954,55.92999,0.0,0.994285,0.400953,0.0,0.113322,0.15855,0.211889,1.29536,187.562638,0.417385,0.0,0.0,0.0,0.0,0.131497,106.939928,0.6371093058522417,0.0,0.3628906953499008,33,0
10,307.50777507903786,149.15586677519224,0.0,0.0,15.835068930272664,8.03985426189517,0.8398983585495854,133.63708675312816,0.0,0.0,stage_in_individuals(7)->read_individuals(30)->write_individuals(30)->stage_out_individuals(12)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),tmpfs,beegfs,beegfs,beegfs,beegfs,149.155867,15.834522,0.000547,133.637087,0.0,0.211195,0.003812,0.0,0.0,8.038011,0.001843,0.0,0.0,0.628339,0.211559,0.0,0.0,0.476881,0.058366,0.0,8.66635,0.213402,0.0,0.0,15.834522,0.000547,149.155867,133.637087,0.02887651213930325,0.051494857311916435,0.9196286302917498,30,2
5,318.1835716723008,149.15586677519224,0.0,0.0,18.36190331294077,15.63347644527368,1.3952383857659216,133.63708675312816,0.0,0.0,stage_in_individuals(7)->read_individuals(60)->write_individuals(60)->stage_out_individuals(12)->read_sifting(2)->write_sifting(2)->read_frequency(2)->write_frequency(2),tmpfs,beegfs,beegfs,beegfs,beegfs,149.155867,18.361113,0.00079,133.637087,0.0,0.379853,0.005983,0.0,0.0,15.630523,0.002954,0.0,0.0,0.994285,0.400953,0.0,0.0,0.731962,0.095951,0.0,16.624808,0.403907,0.0,0.0,18.361113,0.00079,149.155867,133.637087,0.053518523632445504,0.05770851997007242,0.888772957427385,30,2
5,325.24870732484527,0.0,0.0473995616690666,0.0,170.95130777733235,15.63347644527368,1.3952383857659216,137.1614338845933,0.0598512702109638,0.0,read_individuals(60)->write_individuals(60)->stage_out_individuals(12)->stage_in_individuals_merge(12)->read_sifting(2)->write_sifting(2)->stage_out_individuals_merge(12)->read_frequency(2)->write_frequency(2),beegfs,tmpfs,beegfs,beegfs,beegfs,0.0,170.93783,0.013478,137.161434,0.0474,0.090208,0.00189,0.059851,0.0,15.630523,0.002954,0.0,0.0,0.994285,0.400953,0.0,0.0,0.731962,0.095951,0.0,187.562638,0.417385,0.0,0.0,0.0,0.0,0.0474,137.22128500000002,0.5779577866615548,0.0,0.4220422154142528,34,1
5,338.9826496515079,0.0,0.0,0.4409873844886471,170.95130777733235,15.63347644527368,0.4955385039742755,0.0,150.6653392667665,0.796000273672508,read_individuals(60)->write_individuals(60)->read_sifting(2)->write_sifting(2)->stage_out_sifting(6)->stage_in_frequency(5)->read_frequency(2)->write_frequency(2)->stage_out_frequency(7),beegfs,beegfs,beegfs,tmpfs,tmpfs,0.0,170.93783,0.013478,0.0,0.0,0.379853,0.005983,0.0474,0.0,15.630523,0.002954,150.665339,0.440987,0.330359,0.16518,0.796,0.278444,0.164375,0.027659,0.796,186.568353,0.016432000000000002,0.0,0.0,0.330359,0.16518,0.440987,151.46133899999998,0.5504257671943342,0.0014618417801307495,0.4481123920535849,33,0
5,339.3150245896068,0.0,0.0,0.4409873844886471,170.95130777733235,15.63347644527368,0.827913442073149,0.0,150.6653392667665,0.796000273672508,read_individuals(60)->write_individuals(60)->read_sifting(2)->write_sifting(2)->stage_out_sifting(6)->stage_in_frequency(5)->read_mutation_overlap(2)->write_mutation_overlap(2)->stage_out_frequency(7),beegfs,beegfs,beegfs,tmpfs,beegfs,0.0,170.93783,0.013478,0.0,0.0,0.379853,0.005983,0.0474,0.0,15.630523,0.002954,150.665339,0.440987,0.330359,0.16518,0.796,0.0,0.731962,0.095951,0.0,187.300315,0.112383,0.0,0.0,0.0,0.0,0.440987,151.46133899999998,0.5523265532573174,0.0,0.44767344500504114,33,0
5,339.48200941646974,0.0,0.0,0.4409873844886471,170.95130777733235,15.63347644527368,0.4955385039742755,0.0,150.6653392667665,1.295360038634333,read_individuals(60)->write_individuals(60)->read_sifting(2)->write_sifting(2)->stage_out_sifting(6)->stage_in_frequency(5)->read_frequency(2)->write_frequency(2)->stage_out_mutation_overlap(17),beegfs,beegfs,beegfs,tmpfs,ssd,0.0,170.93783,0.013478,0.0,0.0,0.379853,0.005983,0.0474,0.0,15.630523,0.002954,150.665339,0.440987,0.330359,0.16518,0.796,0.113322,0.15855,0.211889,1.29536,186.568353,0.016432000000000002,0.0,0.0,0.330359,0.16518,0.440987,151.96069899999998,0.5496161205146544,0.0014596914895483642,0.44892418971467846,33,0
5,339.7198063087661,0.0,0.0,0.278444159955141,170.95130777733235,15.63347644527368,1.3952383857659216,0.0,150.6653392667665,0.796000273672508,read_individuals(60)->write_individuals(60)->read_sifting(2)->write_sifting(2)->stage_out_sifting(6)->stage_in_mutation_overlap(5)->read_frequency(2)->write_frequency(2)->stage_out_mutation_overlap(7),beegfs,beegfs,beegfs,beegfs,tmpfs,0.0,170.93783,0.013478,0.0,0.0,0.379853,0.005983,0.0474,0.0,15.630523,0.002954,150.665339,0.0,0.994285,0.400953,0.0,0.278444,0.164375,0.027659,0.796,187.562638,0.417385,0.0,0.0,0.0,0.0,0.278444,151.46133899999998,0.5533384262828269,0.0,0.44666157280828533,33,0
5,340.02963806677366,0.0,0.0,0.278444159955141,170.95130777733235,15.63347644527368,1.2057103788116597,0.0,150.6653392667665,1.295360038634333,read_individuals(60)->write_individuals(60)->read_sifting(2)->write_sifting(2)->stage_out_sifting(6)->stage_in_mutation_overlap(5)->read_frequency(2)->write_frequency(2)->stage_out_frequency(17),beegfs,beegfs,beegfs,ssd,tmpfs,0.0,170.93783,0.013478,0.0,0.0,0.379853,0.005983,0.0474,0.0,15.630523,0.002954,150.665339,0.175477,0.328613,0.877097,1.29536,0.278444,0.164375,0.027659,0.796,186.568353,0.016432000000000002,0.328613,0.877097,0.0,0.0,0.278444,151.96069899999998,0.5487309461046412,0.00354589678374808,0.4477231569152316,33,0
