region,nodes,total,openmm_stor,aggregate_stor,training_stor,inference_stor,regret_vs_global_best
1,2,11.299784638031356,ssd,ssd,beegfs,beegfs,6.321052876599831
1,1,11.470299315988576,ssd,ssd,beegfs,beegfs,6.491567554557051
2,4,14.592156852003146,beegfs,beegfs,tmpfs,ssd,9.61342509057162
2,4,14.592156852003146,beegfs,tmpfs,tmpfs,ssd,9.61342509057162
2,2,14.6790412581659,beegfs,beegfs,tmpfs,ssd,9.700309496734375
2,2,14.6790412581659,beegfs,tmpfs,tmpfs,ssd,9.700309496734375
2,4,14.687497731432574,beegfs,beegfs,tmpfs,tmpfs,9.708765970001048
2,4,14.687497731432574,beegfs,tmpfs,tmpfs,tmpfs,9.708765970001048
2,1,14.73491999366896,beegfs,beegfs,tmpfs,ssd,9.756188232237434
2,1,14.73491999366896,beegfs,tmpfs,tmpfs,ssd,9.756188232237434
2,2,14.774382137595326,beegfs,beegfs,tmpfs,tmpfs,9.7956503761638
2,2,14.774382137595326,beegfs,tmpfs,tmpfs,tmpfs,9.7956503761638
2,1,14.830260873098387,beegfs,beegfs,tmpfs,tmpfs,9.851529111666862
2,1,14.830260873098387,beegfs,tmpfs,tmpfs,tmpfs,9.851529111666862
2,4,15.313265746455444,beegfs,beegfs,tmpfs,beegfs,10.334533985023919
2,4,15.313265746455444,beegfs,tmpfs,tmpfs,beegfs,10.334533985023919
2,2,15.400150152618195,beegfs,beegfs,tmpfs,beegfs,10.42141839118667
2,2,15.400150152618195,beegfs,tmpfs,tmpfs,beegfs,10.42141839118667
2,1,15.456028888121258,beegfs,beegfs,tmpfs,beegfs,10.477297126689733
2,1,15.456028888121258,beegfs,tmpfs,tmpfs,beegfs,10.477297126689733
2,1,16.266222839993056,tmpfs,beegfs,tmpfs,tmpfs,11.28749107856153
2,4,16.282395733412493,tmpfs,beegfs,tmpfs,tmpfs,11.303663971980967
2,2,16.287544199658136,tmpfs,beegfs,tmpfs,tmpfs,11.30881243822661
2,1,17.000864994187626,tmpfs,beegfs,tmpfs,beegfs,12.0221332327561
2,4,17.017037887607064,tmpfs,beegfs,tmpfs,beegfs,12.038306126175538
2,2,17.022186353852707,tmpfs,beegfs,tmpfs,beegfs,12.043454592421181
3,4,17.038339623341088,beegfs,beegfs,ssd,ssd,12.059607861909562
3,4,17.038339623341088,beegfs,ssd,ssd,ssd,12.059607861909562
3,2,17.125224029503844,beegfs,beegfs,ssd,ssd,12.146492268072318
3,2,17.125224029503844,beegfs,ssd,ssd,ssd,12.146492268072318
3,1,17.181102765006905,beegfs,beegfs,ssd,ssd,12.20237100357538
3,1,17.181102765006905,beegfs,ssd,ssd,ssd,12.20237100357538
3,4,17.29046325411267,beegfs,beegfs,ssd,tmpfs,12.311731492681144
3,4,17.29046325411267,beegfs,ssd,ssd,tmpfs,12.311731492681144
3,2,17.377347660275422,beegfs,beegfs,ssd,tmpfs,12.398615898843897
3,2,17.377347660275422,beegfs,ssd,ssd,tmpfs,12.398615898843897
3,1,17.433226395778483,beegfs,beegfs,ssd,tmpfs,12.454494634346958
3,1,17.433226395778483,beegfs,ssd,ssd,tmpfs,12.454494634346958
3,4,17.759448517793388,beegfs,beegfs,ssd,beegfs,12.780716756361862
3,4,17.759448517793388,beegfs,ssd,ssd,beegfs,12.780716756361862
3,2,17.846332923956144,beegfs,beegfs,ssd,beegfs,12.867601162524618
3,2,17.846332923956144,beegfs,ssd,ssd,beegfs,12.867601162524618
3,1,17.902211659459205,beegfs,beegfs,ssd,beegfs,12.92347989802768
3,1,17.902211659459205,beegfs,ssd,ssd,beegfs,12.92347989802768
3,4,18.20149513951955,ssd,ssd,ssd,ssd,13.222763378088025
3,2,18.69156987391267,ssd,ssd,ssd,ssd,13.712838112481144
3,1,18.86208455186989,ssd,ssd,ssd,ssd,13.883352790438366
3,4,18.943799127976327,ssd,ssd,ssd,beegfs,13.965067366544801
3,4,19.182418168579687,ssd,beegfs,ssd,ssd,14.203686407148162
3,2,19.43387386236944,ssd,ssd,ssd,beegfs,14.455142100937913
3,1,19.604388540326664,ssd,ssd,ssd,beegfs,14.625656778895138
3,2,19.67249290297281,ssd,beegfs,ssd,ssd,14.693761141541284
3,1,19.843007580930028,ssd,beegfs,ssd,ssd,14.864275819498502
3,4,19.924722157036463,ssd,beegfs,ssd,beegfs,14.945990395604937
3,2,20.414796891429575,ssd,beegfs,ssd,beegfs,15.436065129998049
3,1,20.5853115693868,ssd,beegfs,ssd,beegfs,15.606579807955274
