repeat,alpha_idx,ccp_alpha,fold,n_val,n_leaves_val,pairs_val,sep_val,skipped,a_eff,mae_val
1,43,0.007611240374483784,3,1289,88.0,0,0.0,False,0.007611240374483784,5.090258741268385
1,43,0.007611240374483784,4,1289,92.0,0,0.0,False,0.007611240374483784,4.066070000156529
1,43,0.007611240374483784,CV-agg,6447,92.8,1,0.0,False,,4.722488939249404
1,44,0.007665873847279809,0,1290,90.0,1,0.0,False,0.007665873847279809,4.985953235511861
1,44,0.007665873847279809,1,1290,99.0,0,0.0,False,0.007665873847279809,4.245983984056824
1,44,0.007665873847279809,2,1289,95.0,0,0.0,False,0.007665873847279809,5.224344011171907
1,44,0.007665873847279809,3,1289,88.0,0,0.0,False,0.007665873847279809,5.090258741268385
1,44,0.007665873847279809,4,1289,92.0,0,0.0,False,0.007665873847279809,4.066070000156529
1,44,0.007665873847279809,CV-agg,6447,92.8,1,0.0,False,,4.722488939249404
1,45,0.0076797761721698055,0,1290,90.0,1,0.0,False,0.0076797761721698055,4.985953235511861
1,45,0.0076797761721698055,1,1290,99.0,0,0.0,False,0.0076797761721698055,4.245983984056824
1,45,0.0076797761721698055,2,1289,95.0,0,0.0,False,0.0076797761721698055,5.224344011171907
1,45,0.0076797761721698055,3,1289,88.0,0,0.0,False,0.0076797761721698055,5.090258741268385
1,45,0.0076797761721698055,4,1289,92.0,0,0.0,False,0.0076797761721698055,4.066070000156529
1,45,0.0076797761721698055,CV-agg,6447,92.8,1,0.0,False,,4.722488939249404
1,46,0.00772124084711023,0,1290,90.0,1,0.0,False,0.00772124084711023,4.985953235511861
1,46,0.00772124084711023,1,1290,99.0,0,0.0,False,0.00772124084711023,4.245983984056824
1,46,0.00772124084711023,2,1289,95.0,0,0.0,False,0.00772124084711023,5.224344011171907
1,46,0.00772124084711023,3,1289,88.0,0,0.0,False,0.00772124084711023,5.090258741268385
1,46,0.00772124084711023,4,1289,92.0,0,0.0,False,0.00772124084711023,4.066070000156529
1,46,0.00772124084711023,CV-agg,6447,92.8,1,0.0,False,,4.722488939249404
1,47,0.007743297294899323,0,1290,90.0,1,0.0,False,0.007743297294899323,4.985953235511861
1,47,0.007743297294899323,1,1290,98.0,0,0.0,False,0.007743297294899323,4.265275344271412
1,47,0.007743297294899323,2,1289,93.0,0,0.0,False,0.007743297294899323,5.21742142795928
1,47,0.007743297294899323,3,1289,88.0,0,0.0,False,0.007743297294899323,5.090258741268385
1,47,0.007743297294899323,4,1289,92.0,0,0.0,False,0.007743297294899323,4.066070000156529
1,47,0.007743297294899323,CV-agg,6447,92.2,1,0.0,False,,4.72496491953725
1,48,0.00775490116389186,0,1290,90.0,1,0.0,False,0.00775490116389186,4.985953235511861
1,48,0.00775490116389186,1,1290,98.0,0,0.0,False,0.00775490116389186,4.265275344271412
1,48,0.00775490116389186,2,1289,93.0,0,0.0,False,0.00775490116389186,5.21742142795928
1,48,0.00775490116389186,3,1289,88.0,0,0.0,False,0.00775490116389186,5.090258741268385
1,48,0.00775490116389186,4,1289,92.0,0,0.0,False,0.00775490116389186,4.066070000156529
1,48,0.00775490116389186,CV-agg,6447,92.2,1,0.0,False,,4.72496491953725
1,49,0.007842288691024858,0,1290,89.0,1,0.0,False,0.007842288691024858,4.998810339808984
1,49,0.007842288691024858,1,1290,98.0,0,0.0,False,0.007842288691024858,4.265275344271412
1,49,0.007842288691024858,2,1289,92.0,0,0.0,False,0.007842288691024858,5.21476416185723
1,49,0.007842288691024858,3,1289,88.0,0,0.0,False,0.007842288691024858,5.090258741268385
1,49,0.007842288691024858,4,1289,92.0,0,0.0,False,0.007842288691024858,4.066070000156529
1,49,0.007842288691024858,CV-agg,6447,91.8,1,0.0,False,,4.727006248610889
1,50,0.007873122773198467,0,1290,89.0,1,0.0,False,0.007873122773198467,4.998810339808984
1,50,0.007873122773198467,1,1290,98.0,0,0.0,False,0.007873122773198467,4.265275344271412
1,50,0.007873122773198467,2,1289,92.0,0,0.0,False,0.007873122773198467,5.21476416185723
1,50,0.007873122773198467,3,1289,88.0,0,0.0,False,0.007873122773198467,5.090258741268385
1,50,0.007873122773198467,4,1289,92.0,0,0.0,False,0.007873122773198467,4.066070000156529
1,50,0.007873122773198467,CV-agg,6447,91.8,1,0.0,False,,4.727006248610889
1,51,0.00793972734273455,0,1290,89.0,1,0.0,False,0.00793972734273455,4.998810339808984
1,51,0.00793972734273455,1,1290,98.0,0,0.0,False,0.00793972734273455,4.265275344271412
1,51,0.00793972734273455,2,1289,92.0,0,0.0,False,0.00793972734273455,5.21476416185723
1,51,0.00793972734273455,3,1289,88.0,0,0.0,False,0.00793972734273455,5.090258741268385
1,51,0.00793972734273455,4,1289,92.0,0,0.0,False,0.00793972734273455,4.066070000156529
1,51,0.00793972734273455,CV-agg,6447,91.8,1,0.0,False,,4.727006248610889
1,52,0.0079704774545627,0,1290,87.0,1,0.0,False,0.0079704774545627,5.012624954017669
1,52,0.0079704774545627,1,1290,98.0,0,0.0,False,0.0079704774545627,4.265275344271412
