region,nodes,total,run_idfeature_stor,run_tracksingle_stor,run_gettracks_stor,run_trackstats_stor,run_identifymcs_stor,run_matchpf_stor,run_robustmcs_stor,run_mapfeature_stor,run_speed_stor,regret_vs_global_best
0,16,31.860828938870853,beegfs,ssd,beegfs,beegfs,beegfs,tmpfs,beegfs,beegfs,beegfs,27.47350150636911
0,16,31.862122652614985,beegfs,beegfs,beegfs,ssd,beegfs,ssd,beegfs,beegfs,beegfs,27.474795220113243
0,16,31.863134733161164,beegfs,ssd,beegfs,ssd,beegfs,beegfs,tmpfs,beegfs,beegfs,27.47580730065942
0,16,31.86656764199253,beegfs,ssd,beegfs,ssd,beegfs,tmpfs,beegfs,beegfs,beegfs,27.479240209490783
0,16,31.872720990311564,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,tmpfs,beegfs,beegfs,27.48539355780982
0,16,31.876153899142928,beegfs,beegfs,ssd,beegfs,beegfs,tmpfs,beegfs,beegfs,beegfs,27.488826466641186
0,32,31.879621167123144,beegfs,ssd,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,beegfs,27.4922937346214
0,16,31.88899871533181,beegfs,ssd,beegfs,beegfs,tmpfs,beegfs,beegfs,beegfs,beegfs,27.501671282830067
0,16,31.904323675603887,beegfs,beegfs,ssd,beegfs,tmpfs,beegfs,beegfs,beegfs,beegfs,27.51699624310214
0,32,31.914589340407616,beegfs,ssd,beegfs,ssd,beegfs,beegfs,tmpfs,beegfs,beegfs,27.527261907905874
0,32,31.918022249238977,beegfs,ssd,beegfs,ssd,beegfs,tmpfs,beegfs,beegfs,beegfs,27.53069481673723
0,32,31.922614024322417,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,ssd,beegfs,beegfs,27.53528659182067
0,16,31.92396688861628,beegfs,ssd,beegfs,beegfs,tmpfs,beegfs,tmpfs,beegfs,beegfs,27.536639456114536
0,32,31.93359816781088,beegfs,beegfs,beegfs,ssd,beegfs,ssd,beegfs,beegfs,beegfs,27.546270735309136
0,16,31.939291848888356,beegfs,beegfs,ssd,beegfs,tmpfs,beegfs,tmpfs,beegfs,beegfs,27.55196441638661
0,32,31.997743741103815,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,27.61041630860207
0,32,32.03271191438829,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,tmpfs,beegfs,beegfs,27.645384481886545
0,32,32.033089609325344,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,27.645762176823602
0,32,32.03614482321965,beegfs,ssd,beegfs,beegfs,beegfs,tmpfs,beegfs,beegfs,beegfs,27.64881739071791
0,32,32.06431459968061,beegfs,ssd,beegfs,beegfs,tmpfs,beegfs,beegfs,beegfs,beegfs,27.676987167178865
0,32,32.06805778260981,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,tmpfs,beegfs,beegfs,27.68073035010807
0,32,32.07149069144118,beegfs,beegfs,ssd,beegfs,beegfs,tmpfs,beegfs,beegfs,beegfs,27.684163258939435
0,32,32.099282772965076,beegfs,ssd,beegfs,beegfs,tmpfs,beegfs,tmpfs,beegfs,beegfs,27.711955340463334
0,32,32.09966046790213,beegfs,beegfs,ssd,beegfs,tmpfs,beegfs,beegfs,beegfs,beegfs,27.71233303540039
0,32,32.1346286411866,beegfs,beegfs,ssd,beegfs,tmpfs,beegfs,tmpfs,beegfs,beegfs,27.74730120868486
0,16,32.16369846250062,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,27.776371029998877
0,16,32.1671870797705,beegfs,ssd,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,27.779859647268758
0,16,32.16943716562229,beegfs,ssd,beegfs,ssd,beegfs,beegfs,ssd,beegfs,beegfs,27.78210973312055
0,16,32.17468260598907,beegfs,ssd,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,27.787355173487327
0,16,32.17902342277269,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,27.791695990270945
0,16,32.18042130911075,beegfs,ssd,beegfs,ssd,beegfs,ssd,beegfs,beegfs,beegfs,27.793093876609007
0,16,32.18251204004258,beegfs,beegfs,ssd,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,27.79518460754084
0,16,32.19000756626115,beegfs,beegfs,ssd,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,27.80268013375941
0,16,32.20215525305497,beegfs,ssd,beegfs,beegfs,ssd,beegfs,tmpfs,beegfs,beegfs,27.814827820553226
0,16,32.21748021332705,beegfs,beegfs,ssd,beegfs,ssd,beegfs,tmpfs,beegfs,beegfs,27.83015278082531
