nodes,total,in_o1,in_o2,in_o3,exec_o1,exec_o2,exec_o3,out_o1,out_o2,out_o3,critical_path,individuals_stor,individuals_merge_stor,sifting_stor,frequency_stor,mutation_overlap_stor,in_individuals,read_individuals,write_individuals,out_individuals,in_individuals_merge,read_individuals_merge,write_individuals_merge,out_individuals_merge,in_sifting,read_sifting,write_sifting,out_sifting,in_frequency,read_frequency,write_frequency,out_frequency,in_mutation_overlap,read_mutation_overlap,write_mutation_overlap,out_mutation_overlap
5,339.7198063087661,0.0,0.0,0.278444159955141,170.95130777733235,15.63347644527368,1.3952383857659216,0.0,150.6653392667665,0.796000273672508,read_individuals(60)->write_individuals(60)->read_sifting(2)->write_sifting(2)->stage_out_sifting(6)->stage_in_mutation_overlap(5)->read_frequency(2)->write_frequency(2)->stage_out_mutation_overlap(7),beegfs,beegfs,beegfs,beegfs,tmpfs,-,170.937830,0.013478,-,-,0.379853,0.005983,0.047400,-,15.630523,0.002954,150.665339,-,0.994285,0.400953,-,0.278444,0.164375,0.027659,0.796000
5,340.02963806677366,0.0,0.0,0.278444159955141,170.95130777733235,15.63347644527368,1.2057103788116597,0.0,150.6653392667665,1.295360038634333,read_individuals(60)->write_individuals(60)->read_sifting(2)->write_sifting(2)->stage_out_sifting(6)->stage_in_mutation_overlap(5)->read_frequency(2)->write_frequency(2)->stage_out_frequency(17),beegfs,beegfs,beegfs,ssd,tmpfs,-,170.937830,0.013478,-,-,0.379853,0.005983,0.047400,-,15.630523,0.002954,150.665339,0.175477,0.328613,0.877097,1.295360,0.278444,0.164375,0.027659,0.796000
2,344.18531416931,149.15586677519224,0.0,0.0,41.21535671952389,18.265096544493474,1.9119073769722115,133.63708675312816,0.0,0.0,stage_in_individuals(7)->read_individuals(150)->write_individuals(150)->stage_out_individuals(12)->read_sifting(5)->write_sifting(5)->read_frequency(5)->write_frequency(5),tmpfs,beegfs,beegfs,beegfs,beegfs,149.155867,41.213463,0.001893,133.637087,-,0.484061,0.009069,-,-,18.260633,0.004464,-,-,1.318713,0.593194,-,-,0.915467,0.149858,-
10,364.8464470826839,149.15586677519224,0.0,0.1133218168415363,15.835068930272664,8.03985426189517,0.8398983585495854,133.63708675312816,55.92999014817022,1.295360038634333,stage_in_individuals(7)->read_individuals(30)->write_individuals(30)->stage_out_individuals(12)->read_sifting(1)->write_sifting(1)->stage_out_sifting(15)->stage_in_mutation_overlap(17)->read_frequency(1)->write_frequency(1)->stage_out_mutation_overlap(17),tmpfs,beegfs,beegfs,beegfs,ssd,149.155867,15.834522,0.000547,133.637087,-,0.211195,0.003812,0.018175,-,8.038011,0.001843,55.929990,-,0.628339,0.211559,-,0.113322,0.092998,0.154651,1.295360
10,364.8468854410413,149.15586677519224,0.0,0.1754765717028859,15.835068930272664,8.03985426189517,0.7781819620456173,133.63708675312816,55.92999014817022,1.295360038634333,stage_in_individuals(7)->read_individuals(30)->write_individuals(30)->stage_out_individuals(12)->read_sifting(1)->write_sifting(1)->stage_out_sifting(15)->stage_in_frequency(16)->read_frequency(1)->write_frequency(1)->stage_out_frequency(17),tmpfs,beegfs,beegfs,ssd,beegfs,149.155867,15.834522,0.000547,133.637087,-,0.211195,0.003812,0.018175,-,8.038011,0.001843,55.929990,0.175477,0.211945,0.566237,1.295360,-,0.476881,0.058366,-
10,364.8468854410413,149.15586677519224,0.0,0.1754765717028859,15.835068930272664,8.03985426189517,0.7781819620456173,133.63708675312816,55.92999014817022,1.295360038634333,stage_in_individuals(7)->read_individuals(30)->write_individuals(30)->stage_out_individuals(12)->read_sifting(1)->write_sifting(1)->stage_out_sifting(15)->stage_in_frequency(16)->read_frequency(1)->write_frequency(1)->stage_out_frequency(17),tmpfs,beegfs,beegfs,ssd,ssd,149.155867,15.834522,0.000547,133.637087,-,0.211195,0.003812,0.018175,-,8.038011,0.001843,55.929990,0.175477,0.211945,0.566237,1.295360,0.113322,0.092998,0.154651,1.295360
5,375.39487042385394,149.15586677519224,0.0,0.1754765717028859,18.36190331294077,15.63347644527368,1.2057103788116597,133.63708675312816,55.92999014817022,1.295360038634333,stage_in_individuals(7)->read_individuals(60)->write_individuals(60)->stage_out_individuals(12)->read_sifting(2)->write_sifting(2)->stage_out_sifting(15)->stage_in_frequency(16)->read_frequency(2)->write_frequency(2)->stage_out_frequency(17),tmpfs,beegfs,beegfs,ssd,beegfs,149.155867,18.361113,0.000790,133.637087,-,0.379853,0.005983,0.018175,-,15.630523,0.002954,55.929990,0.175477,0.328613,0.877097,1.295360,-,0.731962,0.095951,-
5,375.39487042385394,149.15586677519224,0.0,0.1754765717028859,18.36190331294077,15.63347644527368,1.2057103788116597,133.63708675312816,55.92999014817022,1.295360038634333,stage_in_individuals(7)->read_individuals(60)->write_individuals(60)->stage_out_individuals(12)->read_sifting(2)->write_sifting(2)->stage_out_sifting(15)->stage_in_frequency(16)->read_frequency(2)->write_frequency(2)->stage_out_frequency(17),tmpfs,beegfs,beegfs,ssd,ssd,149.155867,18.361113,0.000790,133.637087,-,0.379853,0.005983,0.018175,-,15.630523,0.002954,55.929990,0.175477,0.328613,0.877097,1.295360,0.113322,0.158550,0.211889,1.295360
5,375.5222436759468,149.15586677519224,0.0,0.1133218168415363,18.36190331294077,15.63347644527368,1.3952383857659216,133.63708675312816,55.92999014817022,1.295360038634333,stage_in_individuals(7)->read_individuals(60)->write_individuals(60)->stage_out_individuals(12)->read_sifting(2)->write_sifting(2)->stage_out_sifting(15)->stage_in_mutation_overlap(17)->read_frequency(2)->write_frequency(2)->stage_out_mutation_overlap(17),tmpfs,beegfs,beegfs,beegfs,ssd,149.155867,18.361113,0.000790,133.637087,-,0.379853,0.005983,0.018175,-,15.630523,0.002954,55.929990,-,0.994285,0.400953,-,0.113322,0.158550,0.211889,1.295360
2,401.52398617295603,149.15586677519224,0.0,0.1133218168415363,41.21535671952389,18.265096544493474,1.9119073769722115,133.63708675312816,55.92999014817022,1.295360038634333,stage_in_individuals(7)->read_individuals(150)->write_individuals(150)->stage_out_individuals(12)->read_sifting(5)->write_sifting(5)->stage_out_sifting(15)->stage_in_mutation_overlap(17)->read_frequency(5)->write_frequency(5)->stage_out_mutation_overlap(17),tmpfs,beegfs,beegfs,beegfs,ssd,149.155867,41.213463,0.001893,133.637087,-,0.484061,0.009069,0.018175,-,18.260633,0.004464,55.929990,-,1.318713,0.593194,-,0.113322,0.219688,0.470526,1.295360
